lat,long,date,lcc
-0.559788,37.478215,4/7/2021,Cultivated and managed vegetation/agriculture (cropland)
-2.441984,40.161785,7/13/2020,"Open forest, unknown"
-0.65167,38.402958,4/4/2021,Urban / built up
-0.610328,38.112466,2/5/2021,Cultivated and managed vegetation/agriculture (cropland)
0.120728,37.069462,2/11/2021,Cultivated and managed vegetation/agriculture (cropland)
-3.523345,39.842349,2/7/2021,"Open forest, unknown"
0.267439,35.73517,3/11/2021,"Open forest, unknown"
2.329307,37.999144,5/27/2020,"Open forest, unknown"
3.995706,37.271629,1/30/2021,Urban / built up
0.399275,36.309291,2/19/2021,"Open forest, unknown"
-1.690028,40.169425,2/25/2021,Urban / built up
-0.514504,37.752022,3/29/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.131647,36.183557,3/5/2021,"Open forest, unknown"
0.962792,38.536762,2/28/2021,Urban / built up
-1.569844,38.361372,3/10/2021,"Open forest, unknown"
-1.017875,37.944368,2/28/2021,Cultivated and managed vegetation/agriculture (cropland)
0.333635,35.886404,3/17/2021,"Open forest, unknown"
-1.615352,38.083818,2/26/2021,"Open forest, unknown"
-0.593956,36.117772,3/25/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.434608,37.727465,3/5/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.473804,38.048668,3/11/2021,Cultivated and managed vegetation/agriculture (cropland)
3.505389,38.750893,3/9/2021,Urban / built up
-1.144976,37.542628,2/18/2021,Urban / built up
0.488934,35.757274,3/7/2021,Cultivated and managed vegetation/agriculture (cropland)
0.443058,36.373658,2/2/2021,Cultivated and managed vegetation/agriculture (cropland)
2.653445,36.265506,6/30/2020,"Open forest, unknown"
-1.596898,40.065718,1/22/2021,"Open forest, unknown"
-0.554743,37.472296,3/26/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.557966,38.211351,3/17/2021,Urban / built up
-2.074083,38.32407,3/28/2021,Cultivated and managed vegetation/agriculture (cropland)
3.470848,39.312153,4/8/2021,"Open forest, unknown"
-1.328026,38.021342,3/6/2021,Cultivated and managed vegetation/agriculture (cropland)
0.611276,40.408895,7/1/2020,Urban / built up
3.505722,38.750543,4/7/2021,Urban / built up
-1.658884,37.293249,2/18/2021,Cultivated and managed vegetation/agriculture (cropland)
4.206057,34.347978,3/9/2021,"Open forest, unknown"
-1.515583,37.262008,1/15/2021,Urban / built up
-1.635857,37.991432,2/12/2021,Cultivated and managed vegetation/agriculture (cropland)
3.398432,40.224347,12/22/2020,Urban / built up
-1.1415,37.47247,4/11/2021,Cultivated and managed vegetation/agriculture (cropland)
3.36035,39.415678,3/5/2021,Urban / built up
0.274936,36.363522,3/24/2021,"Open forest, unknown"
0.359236,37.596102,4/10/2021,Urban / built up
-0.330637,37.647965,1/26/2021,Urban / built up
3.602626,38.516688,3/31/2021,"Open forest, unknown"
-0.639431,38.360417,2/20/2021,"Open forest, unknown"
-0.429939,39.650938,1/8/2021,Urban / built up
-3.050805,40.096721,3/18/2021,"Open forest, unknown"
0.078143,37.185311,1/20/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.331817,37.637139,2/6/2021,Urban / built up
3.506866,38.96646,1/20/2021,"Open forest, unknown"
3.102482,35.599204,4/12/2021,Urban / built up
0.35715,37.583587,4/1/2020,Urban / built up
2.243404,38.004098,4/19/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.724596,39.018163,1/12/2021,Urban / built up
0.035575,36.356163,4/2/2021,Urban / built up
-0.00474,37.763742,12/30/2020,Cultivated and managed vegetation/agriculture (cropland)
0.017271,38.07817,3/12/2021,Cultivated and managed vegetation/agriculture (cropland)
1.784668,35.491053,2/19/2021,"Open forest, unknown"
-0.153557,38.202779,3/23/2021,Cultivated and managed vegetation/agriculture (cropland)
0.084404,37.788071,12/31/2020,"Open forest, unknown"
-3.753036,39.656477,2/25/2021,"Open forest, unknown"
-0.503999,39.656672,3/2/2021,"Open forest, unknown"
3.35751,39.41994,3/20/2021,Urban / built up
-0.546077,37.450531,3/24/2021,Urban / built up
