B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,lcc,lat,long,date
2392,2050,563,781,1204,1488,1995,2187,2195,2346,2440,Cultivated and managed vegetation/agriculture (cropland),-0.559788,37.478215,2021-04-07
2516,1747,306,684,635,1640,3075,3468,3276,3883,3652,"Open forest, unknown",-2.441984,40.161785,2020-07-13
5044,4512,3978,4042,4152,4386,4355,4456,4624,4654,6188,Urban / built up,-0.65167,38.402958,2021-04-04
5513,4047,8312,7856,7484,7680,7510,7600,7404,7480,6623,Cultivated and managed vegetation/agriculture (cropland),-0.610328,38.112466,2021-02-05
2380,1587,518,739,929,1350,1918,2214,2194,2425,2350,Cultivated and managed vegetation/agriculture (cropland),0.120728,37.069462,2021-02-11
4588,3451,4412,4524,4536,4809,5096,5327,5220,5372,4639,"Open forest, unknown",-3.523345,39.842349,2021-02-07
1450,1105,411,628,652,982,1459,1638,1696,1800,1873,"Open forest, unknown",0.267439,35.73517,2021-03-11
2037,1163,408,763,725,1259,2895,3305,2700,3532,3632,"Open forest, unknown",2.329307,37.999144,2020-05-27
2224,1822,1015,1376,1682,2007,2265,2427,2398,2374,2066,Urban / built up,3.995706,37.271629,2021-01-30
2454,1708,403,652,801,1246,1961,2241,2502,2464,2415,"Open forest, unknown",0.399275,36.309291,2021-02-19
3976,3257,2054,2228,2574,3070,3437,3751,3730,4015,4735,Urban / built up,-1.690028,40.169425,2021-02-25
3117,2441,611,951,1192,1511,1964,2181,2375,2504,2467,Cultivated and managed vegetation/agriculture (cropland),-0.514504,37.752022,2021-03-29
1844,1151,332,697,565,1156,2342,2763,2910,2984,3025,"Open forest, unknown",-0.131647,36.183557,2021-03-05
3553,3315,1438,1714,2190,2511,2526,2643,2364,2751,2901,Urban / built up,0.962792,38.536762,2021-02-28
2653,2273,4288,3752,3692,3692,4005,4300,4300,4478,2456,"Open forest, unknown",-1.569844,38.361372,2021-03-10
5537,4417,5716,5968,6148,6850,6888,6833,6024,6757,13885,Cultivated and managed vegetation/agriculture (cropland),-1.017875,37.944368,2021-02-28
2967,2404,617,1094,1732,1758,2133,2236,2400,2448,2139,"Open forest, unknown",0.333635,35.886404,2021-03-17
6126,4802,8936,8520,8040,8625,8348,8276,8368,8097,15231,"Open forest, unknown",-1.615352,38.083818,2021-02-26
3064,2506,599,897,1200,1460,1922,2115,2320,2390,2376,Cultivated and managed vegetation/agriculture (cropland),-0.593956,36.117772,2021-03-25
1212,867,604,720,672,920,1423,1621,1750,1720,1620,Cultivated and managed vegetation/agriculture (cropland),-0.434608,37.727465,2021-03-05
3819,3047,536,941,1562,2127,2649,2820,2832,2947,2841,Cultivated and managed vegetation/agriculture (cropland),-0.473804,38.048668,2021-03-11
3659,2662,6908,6620,6508,6540,6579,6748,6452,6702,2693,Urban / built up,3.505389,38.750893,2021-03-09
2385,2172,903,1152,1374,1600,1808,1908,1904,1978,2147,Urban / built up,-1.144976,37.542628,2021-02-18
5019,4030,7296,7072,6876,7126,7036,6982,6960,7004,10170,Cultivated and managed vegetation/agriculture (cropland),0.488934,35.757274,2021-03-07
658,396,186,271,333,392,545,631,599,691,521,Cultivated and managed vegetation/agriculture (cropland),0.443058,36.373658,2021-02-02
3183,2482,3580,3304,3254,3196,3146,3038,3930,2876,4840,"Open forest, unknown",2.653445,36.265506,2020-06-30
3629,3424,5008,4220,3592,4179,4566,4805,4864,5107,16055,"Open forest, unknown",-1.596898,40.065718,2021-01-22
2591,1888,411,691,807,1391,2115,2487,2678,2635,2577,Cultivated and managed vegetation/agriculture (cropland),-0.554743,37.472296,2021-03-26
4903,3749,7804,7248,6784,6931,6552,6542,6528,6351,7915,Urban / built up,-0.557966,38.211351,2021-03-17
2978,2288,770,1005,1266,1590,2156,2501,2632,2646,2923,Cultivated and managed vegetation/agriculture (cropland),-2.074083,38.32407,2021-03-28
4378,4020,741,1110,1758,1896,2310,2469,2498,2589,2773,"Open forest, unknown",3.470848,39.312153,2021-04-08
3210,3090,6132,6108,6092,6002,6246,6513,6568,6553,3868,Cultivated and managed vegetation/agriculture (cropland),-1.328026,38.021342,2021-03-06
